"""card"" id","typeId
{colour}{rarity}{id}",name,colour text,colour,rarity,variant,ipfs hash,b1,b2,b3,f1,f2,f3,a,b,r,frames,rotation,frame width,frame height,pixel width,pixel height,reversed
1,1101,Automata,Red,1,1,1,QmUcpcytQE4eJGGMBzRDXLnRwbPvhNFZxcNCtiaTxwBMYF,3,6,6,1.123120726,2.204720729,2.705473038,0.83,0.25,0.1,90,90,3.2,3.2,350,350,0
2,1102,Circuitous,Red,1,1,2,QmWRivXpvM7BeKa9pAeppza8wd478bVgmbj9p8kJbGhBYc,3,6,6,0.1,0.4,0.4,0.2,0,0.6982275585,90,90,3.2,3.2,350,350,0
3,1103,Concentric,Red,1,1,3,QmTmkqvy9tzVgpRojDYGVdWEZpdBQZyobdsodGtKYbT5ts,3,6,6,0.4,1,1,0.8906362852,0.02805203611,0.1798800457,90,90,3.4,3.4,350,350,0
4,1104,Departure,Red,1,1,4,QmXGQkBH1eXo85MLKZ2qLWG4REkbgp2qL8aZUP3ieQ6657,3,6,6,0.1,0.4,0.4,0.2552577712,-0.7338736505,0.2387415931,90,90,3.2,3.2,350,350,0
5,1201,Transmutation,Red,1,2,1,Qmb1fU8dg1xVw9bLUVrNynm4Y6pv4VrNw7hfwuzqamw1Dd,3,6,6,0.1,0.4,0.4,0.05626051709,0.664804654,0.02761074711,90,90,2.8,2.8,350,350,0
6,1202,Simulacrum,Red,1,2,2,QmbYvY32ndwS75kW8ie1jS3LC6QE3uDBQEZxgBZgZbGsp8,3,6,6,1,2,2,-0.3128664,0.449,0.01,45,90,2.8,2.8,350,350,0
7,1301,Iteration,Red,1,3,1,QmUrBMjKotiUSCRSPEzk5rNjDAntRA9zSGehEDajaFFUZQ,3,6,6,0.4,1,1,0.702975733,-0.281519711,0.02,90,90,3.2,3.2,350,350,1
8,2101,Contour,Orange,2,1,1,Qmb3u2PWwPspEfrQuTZWguDttX3AFAFYzDMpabz3WiYXBo,1.365600029,2.599285928,4.175366752,0.3414000073,0.6498214821,1.043841688,-0.3559501387,0.108301207,0.008140319881,90,90,2.8,2.8,350,350,0
9,2102,Reprisal,Orange,2,1,2,Qme8CTRgMwJsLtxK7L9fcaxctfnLxAMYLqCYpAZy3DwpqF,2,3,4,1,1.5,2,-0.3896,-0.2165,0.0146,90,0,2.8,2.8,350,350,0
10,2103,Shells,Orange,2,1,3,QmWRG77kXUp1DNv3F4ameT4EcpQeCiVo9C9SFrUJ5G6Rm5,2,3,4,1,1.5,2,-0.3,0,0.05,90,90,3.2,3.2,350,350,0
11,2104,Chorus,Orange,2,1,4,QmaKtFSFPq5ZKobj9LXjDDgSuqgZf8Yh2rUhWgwSKunsJp,2,3,4,0.1,0.25,0.4,0.702975733,-0.281519711,0.007,60,0,3.2,3.2,350,350,0
12,2201,Echolalia,Orange,2,2,1,Qmbe43XZ1hAzfkcyddcaycovrFNhFTK3Pe16dQ1jrEpDxd,3,4.5,6,0.5,0.75,1,0.05626051709,0.664804654,0.02761074711,90,0,2.8,2.8,350,350,0
